run_id,k,window,lambda,w_window,p_miss,vip_stat,bad,rho_eff
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,30,14.300000,5,0.200000,8.893353,1,14.867376
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,36,13.500000,5,0.200000,3.629258,1,14.035635
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,38,13.200000,5,0.200000,6.840862,1,13.723732
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,44,4.000000,2,0.000000,0.039233,0,0.158707
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,46,3.800000,2,0.000000,0.040416,0,0.150771
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,47,4.200000,2,0.000000,0.047597,0,0.166642
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,48,3.100000,2,0.000000,0.043905,0,0.122998
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,49,3.400000,2,0.000000,0.043226,0,0.134901
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,50,3.900000,2,0.000000,0.043039,0,0.154739
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,52,3.900000,2,0.000000,0.043576,0,0.154739
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,55,3.600000,2,0.000000,0.040718,0,0.142836
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,56,4.400000,2,0.000000,0.041216,0,0.174577
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,57,3.700000,2,0.000000,0.043944,0,0.146804
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,58,3.700000,2,0.000000,0.055145,0,0.146804
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,1,3.400000,2,0.000000,0.040449,0,0.134901
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,4,3.500000,2,0.000000,0.046324,0,0.138868
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,6,2.700000,2,0.000000,0.041631,0,0.107127
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,7,4.700000,2,0.000000,0.041339,0,0.186480
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,10,3.500000,2,0.000000,0.043429,0,0.138868
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,11,4.600000,2,0.000000,0.054217,0,0.182513
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,13,4.200000,2,0.000000,0.044714,0,0.166642
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,18,3.500000,2,0.000000,0.042475,0,0.138868
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,19,3.800000,4,0.000000,0.043176,0,0.150771
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,20,15.300000,5,0.200000,1.464297,1,15.907053
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,22,13.900000,5,0.200000,9.495759,1,14.451506
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,23,15.400000,5,0.200000,9.394010,1,16.011021
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,27,13.800000,5,0.200000,4.576116,1,14.347538
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,29,15.300000,5,0.200000,6.721689,1,15.907053
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,30,12.800000,5,0.200000,6.603638,1,13.307861
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,32,13.300000,5,0.200000,4.459061,1,13.827700
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,37,13.900000,5,0.200000,5.907932,1,14.451506
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,38,11.800000,5,0.200000,2.903517,1,12.268185
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,39,14.400000,5,0.200000,4.211961,1,14.971344
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,41,6.100000,2,0.000000,0.045992,0,0.242028
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,43,5.600000,2,0.000000,0.041486,0,0.222189
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,45,3.000000,2,0.000000,0.043493,0,0.119030
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,46,4.900000,2,0.000000,0.041773,0,0.194416
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,47,4.400000,2,0.000000,0.045089,0,0.174577
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,50,5.300000,2,0.000000,0.050145,0,0.210286
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,51,4.100000,2,0.000000,0.043276,0,0.162674
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,53,5.700000,2,0.000000,0.044943,0,0.226157
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,56,4.600000,2,0.000000,0.044849,0,0.182513
seed=103__K=4__ts=20260118-215044__git=unknown__cfg=91e49b,4,57,4.400000,2,0.000000,0.054651,0,0.174577
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,1,4.200000,2,0.000000,0.042213,0,0.166642
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,2,4.200000,2,0.000000,0.047578,0,0.166642
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,3,5.000000,2,0.000000,0.047333,0,0.198383
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,4,3.900000,2,0.000000,0.046133,0,0.154739
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,7,4.100000,2,0.000000,0.041837,0,0.162674
